exp_id,site,seed,epochs,chm,train,test,bbox_prec,bbox_rec,class_prec,class_rec,n_grn_matched,n_brn_matched,n_both_matched
8b216f047d6c43e09eff8cf61908d838,teak,865101,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6559106572619231,0.7171735968511591,0.8956975228161669,0.9359673024523161,0.7164685908319185,0.7659574468085106,0.7208201892744479
ced002ee7fac4f61969da7cf345580d1,teak,529320,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6600217856059781,0.7152578285325604,0.9043250327653998,0.9400544959128065,0.7215619694397284,0.7021276595744681,0.7208201892744479
1c5f5ac4fb694369a2141f3d5ca62816,teak,468175,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6160332621280719,0.6990769933660993,0.8789013732833958,0.9591280653950953,0.6926994906621392,0.8085106382978723,0.7018927444794952
7b5765d894044c34a9ecd3e241e4584b,teak,694154,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6266698509695136,0.6333757868480044,0.9267605633802817,0.896457765667575,0.6264855687606112,0.6170212765957447,0.6261829652996845
70787ed87d3440a9952963032172d3fc,teak,323554,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.653298933935533,0.7043398310809084,0.9088507265521797,0.9373297002724795,0.6910016977928692,0.7872340425531915,0.6987381703470031
3ad97b31f45343cba5c18d0eb434684c,teak,784313,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.617943878598314,0.6957628620073638,0.8787878787878788,0.9482288828337875,0.6893039049235993,0.7659574468085106,0.695583596214511
6b41badb1b0f4cc88e35681b53f0897e,teak,415029,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6688315848513626,0.6877823864455874,0.9306518723994452,0.9141689373297003,0.6943972835314092,0.6170212765957447,0.6892744479495269
43d2d5c94f47446cb538234f6cdb719e,teak,731053,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.674159267210414,0.7242251212223341,0.917989417989418,0.9455040871934605,0.7164685908319185,0.7446808510638298,0.7192429022082019
b1390f6cdc0f4fcb82291e14fced203b,teak,230705,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6492239761914557,0.6938350315524322,0.899070385126162,0.9223433242506812,0.6926994906621392,0.7446808510638298,0.6971608832807571
62840c5654d8440baf8d4ffdeaa23de6,teak,507281,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6320582923008937,0.7498551647498504,0.8459715639810427,0.9727520435967303,0.765704584040747,0.7446808510638298,0.7649842271293376
