exp_id,site,seed,pi_f,rule,epochs,chm,train,test,bbox_prec,bbox_rec,class_prec,class_rec,n_grn_matched,n_brn_matched,n_both_matched
e96a676624904f83a1f62b8f2b11fd9f,teak,518437,0.5,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7821649185262877,0.5950914136448966,0.9944852941176471,0.7370572207084468,0.6638370118845501,0.19148936170212766,0.6293375394321766
b96e47c3edc241b9b3218ac4ab7af8ad,teak,645142,0.5,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7294726186135183,0.6485148145259044,0.9779179810725552,0.8446866485013624,0.7130730050933786,0.2978723404255319,0.6829652996845426
b62d265da6f143e9b2d7ecc5aa6a0f6b,teak,951277,0.5,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7963908381237401,0.6422721838880316,0.9947643979057592,0.776566757493188,0.7079796264855688,0.2765957446808511,0.6766561514195584
8db209e306354f8ca7ff821421a31277,teak,42,0.6,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7727705305128152,0.5892911018719028,0.9926470588235294,0.7356948228882834,0.6723259762308998,0.10638297872340426,0.6309148264984227
7f053eef65e54592ae73447542c2b037,teak,518437,0.6,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7434960928473224,0.6198096176882281,0.9882154882154882,0.7997275204359673,0.6808149405772496,0.2978723404255319,0.6529968454258676
b5efd846fe084cb2b8ce24a2065913bb,teak,645142,0.6,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7368664417445868,0.6619340544785792,0.9826771653543307,0.8501362397820164,0.7215619694397284,0.2978723404255319,0.6908517350157729
efdf280947e141e8b7e17097e61a7e21,teak,951277,0.6,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.789242694026788,0.6115651656172534,0.9963503649635036,0.7438692098092643,0.6876061120543294,0.1702127659574468,0.6498422712933754
18c0adeb7a82478a9153d83ceb8df969,teak,42,0.7,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7778364134747975,0.6174333002057985,0.9946524064171123,0.7602179836512262,0.6808149405772496,0.2553191489361702,0.6498422712933754
392729c1aea5419e9b3d1646c95a39ca,teak,518437,0.7,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7992534614347906,0.5137293709318338,1.0,0.6253405994550408,0.599320882852292,0.06382978723404255,0.5599369085173501
ac929eb05cb14a31ac6223e0484510ac,teak,645142,0.7,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7862217175847125,0.5912750129177833,0.9962476547842402,0.723433242506812,0.6621392190152802,0.10638297872340426,0.6214511041009464
a9cdd85e5e3c4656ac4869436a90ae5a,teak,951277,0.7,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7513678628985686,0.6564810174770136,0.9871382636655949,0.8365122615803815,0.7266553480475382,0.2127659574468085,0.6892744479495269
d7169ab78a5b4586b8d1f2fd7676f209,teak,42,0.8,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7945551587919695,0.5310634084935485,1.0,0.6471389645776566,0.601018675721562,0.1702127659574468,0.5694006309148265
c04c0cc2e11849d8a99cc9b8cd04e9de,teak,518437,0.8,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7987064752741045,0.4946135368180291,1.0,0.611716621253406,0.5959252971137521,0.0425531914893617,0.555205047318612
0a7ea45b1da54483bd383111f85977a8,teak,645142,0.8,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7793272208777895,0.5279837839412858,1.0,0.6607629427792916,0.6027164685908319,0.10638297872340426,0.5662460567823344
7d359f4875b1434296e8c08aa60824a1,teak,951277,0.8,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7862614398069536,0.5967089576456128,0.9981549815498155,0.7370572207084468,0.6859083191850595,0.14893617021276595,0.6466876971608833
a9e4fcdea9494e74b7c9683dde91320c,teak,42,0.9,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7986346771313034,0.572514766194947,1.0,0.7029972752043597,0.6468590831918506,0.14893617021276595,0.610410094637224
b1dc5d5405354a60af7a799decccc146,teak,518437,0.9,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7871347394593735,0.5392339900229939,1.0,0.662125340599455,0.6196943972835314,0.0425531914893617,0.5772870662460567
aae949d6e3144f3d918ccf0d1fec4c36,teak,645142,0.9,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7976523336904471,0.5657332896836844,0.9980119284294234,0.6839237057220708,0.6451612903225806,0.0425531914893617,0.6009463722397477
5b73c81e4e8f46edbe940634b4ec844f,teak,951277,0.9,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.8014858231790654,0.5305893949557781,1.0,0.6471389645776566,0.6247877758913413,0.02127659574468085,0.580441640378549
08d471200d5f43a8950d184e715ac431,teak,42,1.0,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7851112989551445,0.5032884447835584,1.0,0.6158038147138964,0.5772495755517827,0.0425531914893617,0.5378548895899053
572e47bbc38a47d09f3f4d9e83d13225,teak,518437,1.0,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7183729945378552,0.5368783343672769,1.0,0.728882833787466,0.601018675721562,0.1702127659574468,0.5694006309148265
bc507d991a014b848bc3320a2dd32089,teak,645142,1.0,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7899841312343092,0.4988087154495681,1.0,0.6171662125340599,0.5738539898132428,0.0851063829787234,0.5378548895899053
836254c288f54bc7994760a439e4a8c8,teak,951277,1.0,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7630584409666333,0.5605515856098475,1.0,0.7125340599455041,0.6400679117147708,0.1276595744680851,0.6025236593059937
